original_index,cluster_id
32490,0
536,28
3946,2
37631,7
4983,7
34557,14
1277,2
35353,20
9644,19
4997,12
34498,6
47074,5
28775,17
3010,31
5912,11
35403,15
14264,33
10837,9
15504,14
36474,3
34084,24
42238,1
20178,17
17924,12
49470,4
4573,27
28892,1
11434,9
38708,0
2302,15
14285,12
47628,6
30337,5
2292,11
30362,3
32733,29
48602,11
28091,13
39569,3
359,12
34740,10
3553,21
8225,26
16967,24
19051,18
32187,0
43842,18
23766,7
21429,2
52527,33
12229,1
5123,12
54058,21
4517,28
8082,16
35193,30
25009,21
46357,5
25266,27
393,30
35205,6
8459,32
1350,10
14910,0
38156,33
25325,24
52667,9
36353,0
38047,16
6491,8
1904,23
4898,4
32398,21
34623,4
10438,7
52437,0
494,3
26823,2
40826,25
49756,1
37738,11
30142,22
33661,3
13993,6
39763,1
47966,22
48593,14
54015,13
40620,6
37827,10
19529,10
10443,4
42889,9
15456,2
38044,18
15738,3
43823,30
26439,12
20777,1
38499,1
1215,3
30249,0
7374,20
52844,29
1203,20
50000,16
20024,11
23332,22
43286,18
32927,23
50663,25
12323,9
21431,22
15619,31
52544,0
44478,12
32248,19
48526,1
1559,4
28792,6
5798,3
36065,5
14186,17
446,5
4390,27
48229,13
19448,7
11519,1
43034,5
29019,2
41828,19
32816,4
3442,8
47882,24
24122,4
12673,13
3474,3
43062,3
39672,5
42254,4
25542,17
40519,6
24082,9
24049,3
24785,5
28364,13
5634,23
13571,10
33796,17
28313,10
29009,6
50246,4
28889,18
32208,17
8235,15
23658,10
1499,8
48620,1
31614,9
32340,2
44972,16
10791,34
44111,8
29841,3
9062,26
22969,13
46872,2
42973,34
24420,2
33771,1
19233,8
33468,1
14110,8
47936,2
51928,27
21762,10
18198,21
18507,15
17642,21
39981,1
31232,19
3123,5
12676,15
52805,1
49705,9
52692,2
26327,8
39640,29
23499,17
19550,18
12911,16
1592,7
45561,0
46348,31
39450,18
14273,15
50737,4
54050,0
47897,32
8850,1
45704,9
7962,2
14171,5
28860,19
36613,22
33110,15
20546,3
49764,20
661,15
28156,3
47075,13
30559,18
49397,7
15464,5
37391,6
50288,24
41954,26
16776,24
6930,7
8358,15
11867,8
11831,9
33733,0
32820,9
32200,11
15386,14
28373,1
26730,2
23485,16
22100,25
29066,2
32607,8
50566,7
53422,23
37974,10
7837,2
13008,15
19049,10
5521,9
2940,4
12814,0
1695,11
45656,5
48927,6
35154,30
11383,10
46987,15
7901,1
32980,18
38739,0
43499,29
53557,21
22300,0
13582,8
32605,8
12451,14
6118,16
30494,10
47536,26
17779,0
11929,6
7895,21
5111,1
47718,2
18437,22
35301,12
25441,26
43653,26
2659,27
45686,5
33371,7
5197,23
15025,13
26685,24
33447,25
41014,3
22191,4
12326,10
33120,7
27244,12
32317,3
41723,3
33256,20
47650,1
47974,20
16241,28
2333,14
13620,13
19953,9
42605,1
44210,23
8519,10
23808,20
12069,0
46550,1
7292,4
38066,25
40802,30
1342,10
1859,6
27534,7
50861,0
42957,5
8265,8
19005,4
20626,21
51829,32
13112,9
41499,14
7705,22
45717,27
9226,15
4787,13
29801,11
14078,2
24720,15
32548,15
40428,0
32735,7
47582,2
6703,16
4462,19
4427,0
40373,11
24279,11
29331,0
17213,20
13023,11
51168,12
37257,12
38471,0
27289,6
11963,25
30664,4
888,7
4263,16
153,5
9929,12
14675,17
22276,3
20956,7
31848,2
16958,3
44005,7
48019,0
19010,3
4208,5
14639,31
6667,10
6187,6
31894,19
50559,3
42733,11
211,3
51465,14
36187,1
20436,14
19946,9
45427,23
53831,3
12605,8
32761,22
2367,6
31837,11
43806,28
26866,6
51356,24
32455,23
12599,13
176,5
32299,0
24553,29
6983,0
438,4
46895,13
39445,24
22598,19
42389,33
9266,31
7427,17
10960,4
21638,29
31624,28
35067,5
24394,0
4373,12
48259,14
24896,14
36693,16
23458,11
10776,19
36455,20
45063,4
53778,7
22071,18
6005,12
8430,3
5133,12
7730,0
20915,32
44115,5
11915,1
25920,14
3102,16
15419,10
13727,5
40147,19
33665,16
46215,4
27636,17
44754,8
34633,0
48880,15
27606,22
35720,25
7296,28
48549,13
31990,17
50698,17
34,9
22909,4
976,8
49643,22
30046,14
30921,7
16179,7
30056,17
22651,14
17849,2
35004,28
47017,21
20347,1
53207,4
3988,32
12510,13
16952,12
24173,30
30517,0
31658,2
7715,14
53309,18
29819,11
39545,16
25219,5
12614,6
16103,27
32454,20
9969,4
44021,1
40647,34
50543,9
17756,19
29354,18
34220,0
51722,2
12113,10
41830,13
34145,2
32199,1
25157,26
46700,21
3563,13
42954,29
13953,26
24112,16
12422,6
8874,9
23806,30
46332,25
17909,18
49371,6
3744,11
46630,8
18161,6
13224,8
35571,2
31208,25
50951,2
47342,20
25133,8
26208,8
12278,27
33348,2
28514,23
2915,1
5147,17
17843,19
5858,14
8913,34
26282,0
50758,23
14005,12
47634,0
18755,15
43530,16
27945,16
14419,11
45786,9
27028,20
14475,11
